RDD, TF, n, Tardiness BestFirst, Runtime BestFirst, Tardiness Greedy, Runtime Greedy, Tardiness Exact, Runtime Exact, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx
0.4, 0.8, 40, N/A, N/A, 26040.0, 59542, 17651.0, 721795, 0.5, 17651.0, 7041372, 2.0, 17801.0, 7421334
0.4, 0.8, 45, N/A, N/A, 32688.0, 78245, 18301.0, 540307, 0.5, 18303.0, 4664080, 2.0, 18394.0, 5316394
0.4, 0.8, 5, 267.0, 43972, 296.0, 481, 267.0, 813, 0.5, 269.0, 7830, 2.0, 269.0, 5842
0.4, 0.8, 50, N/A, N/A, 41011.0, 111826, 23569.0, 1366610, 0.5, 23570.0, 14885615, 2.0, 23626.0, 14050879
0.4, 0.8, 55, N/A, N/A, 45640.0, 144353, 28936.0, 1007820, 0.5, 28944.0, 10669171, 2.0, 29029.0, 11798967
0.4, 0.8, 60, N/A, N/A, 43893.0, 231723, 29230.0, 1404798, 0.5, 29235.0, 15707521, 2.0, 29318.0, 15204589
0.4, 0.8, 65, N/A, N/A, 73141.0, 270304, 45484.0, 2211374, 0.5, 45484.0, 24565487, 2.0, 45567.0, 17399218
0.4, 0.8, 70, N/A, N/A, 71324.0, 286296, 43927.0, 8393585, 0.5, 43943.0, 87442825, 2.0, 44039.0, 78949942
0.4, 0.8, 75, N/A, N/A, 88824.0, 351952, 55140.0, 3032376, 0.5, 55140.0, 30993276, 2.0, 55214.0, 28033633
0.4, 0.8, 80, N/A, N/A, 89368.0, 430077, 53935.0, 10501446, 0.5, 53940.0, 121166672, 2.0, 54145.0, 124319548
0.4, 0.8, 85, N/A, N/A, 82999.0, 513020, 42421.0, 55122784, 0.5, 42427.0, 646019089, 2.0, 42604.0, 541096209
0.4, 0.8, 90, N/A, N/A, 102035.0, 604186, 57539.0, 12216214, 0.5, 57548.0, 125681671, 2.0, 57754.0, 142187907
0.4, 0.8, 95, N/A, N/A, 136344.0, 772452, 80826.0, 20793035, 0.5, 80842.0, 204176086, 2.0, 80987.0, 187885582
0.4, 1.0, 10, 1992.0, 4902695000, 2789.0, 1355, 1992.0, 2258, 0.5, 1992.0, 12830, 2.0, 2000.0, 8463
0.4, 1.0, 100, N/A, N/A, 242336.0, 860606, 159354.0, 355175, 0.5, 159360.0, 3575394, 2.0, 159458.0, 3683666
0.4, 1.0, 15, N/A, N/A, 7060.0, 3433, 4269.0, 2951, 0.5, 4272.0, 25238, 2.0, 4319.0, 20991
0.4, 1.0, 20, N/A, N/A, 10916.0, 7288, 7376.0, 4005, 0.5, 7378.0, 34574, 2.0, 7400.0, 30207
